"fork_length","dead","weight","count","r_catch","interp","age_class","brood_year","subsample","common_name","life_stage","station_code","sample_date","sample_id","run","fws_run"
37,TRUE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-19,"323_22","Spring",NA
31,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-19,"323_22","Spring",NA
89,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-03,"307_22","not provided",NA
33,FALSE,0,2,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-17,"321_21","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-17,"321_21","Spring",NA
57,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-10-10,"283_22","not provided",NA
54,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-16,"289_22","not provided",NA
38,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-15,"288_22","not provided",NA
93,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-28,"301_22","not provided",NA
119,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-08,"312_22","not provided",NA
100,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-16,"289_22","not provided",NA
59,FALSE,0,1,NA,FALSE,NA,NA,"not provided","California Roach","not provided","LCC",2022-11-18,"322_22","not provided",NA
133,TRUE,0,1,NA,FALSE,NA,NA,"not provided","Pacific Lamprey macropthalmia","not provided","LCC",2022-11-16,"320_22","not provided",NA
34,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-18,"322_22","Spring",NA
56,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-01,"274_22","not provided",NA
35,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-06,"279_22","not provided",NA
204,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-19,"292_22","not provided",NA
60,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-31,"304_22","not provided",NA
28,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-11-09,"313_22","not provided",NA
38,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-09,"313_22","not provided",NA
118,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-11,"315_22","not provided",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-18,"322_22","Spring",NA
52,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-19,"292_22","not provided",NA
105,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Pacific Lamprey macropthalmia","not provided","UBC",2022-10-14,"287_22","not provided",NA
63,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","LCC",2022-11-17,"321_21","not provided",NA
42,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-31,"304_22","not provided",NA
95,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-08,"312_22","not provided",NA
129,FALSE,29.4,1,NA,FALSE,NA,NA,"not provided","Rainbow Trout","silvery parr","UBC",2022-11-11,"315_22","not provided",NA
48,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-23,"296_22","not provided",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","yolk sac fry","UCC",2022-11-17,"321_22","Spring",NA
36,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-31,"304_22","not provided",NA
110,FALSE,15.3,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","smolt","UBC",2022-10-03,"276_22","Late-Fall",NA
125,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-13,"317_22","not provided",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-18,"322_22","Spring",NA
54,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-09,"282_22","not provided",NA
46,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Riffle Sculpin","not provided","UBC",2022-10-01,"274_22","not provided",NA
35,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-18,"322_22","Spring",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-16,"320_22","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-19,"323_22","Spring",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-19,"323_22","Spring",NA
110,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-11,"315_22","not provided",NA
35,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
128,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-08,"312_22","not provided",NA
52,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-08,"281_22","not provided",NA
108,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Pacific Lamprey macropthalmia","not provided","UBC",2022-10-12,"285_22","not provided",NA
164,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-12,"316_22","not provided",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UBC",2022-10-04,"277_22","Winter",NA
56,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-10-04,"277_22","not provided",NA
30,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
31,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UBC",2022-10-01,"274_22","Winter",NA
99,FALSE,10.3,1,NA,FALSE,NA,NA,"not provided","Rainbow Trout","parr","LCC",2022-11-16,"320_22","not provided",NA
66,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-31,"304_22","not provided",NA
53,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-31,"304_22","not provided",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-04,"277_22","not provided",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-19,"323_22","Spring",NA
192,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-30,"303_22","not provided",NA
80,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-24,"297_22","not provided",NA
132,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-11-10,"314_22","not provided",NA
103,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-27,"300_22","not provided",NA
127,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-10-26,"299_22","not provided",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-16,"320_22","Spring",NA
88,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Tule Perch","not provided","UBC",2022-10-05,"278_22","not provided",NA
31,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-17,"321_22","Spring",NA
35,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-17,"321_22","Spring",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-17,"321_22","Spring",NA
155,FALSE,53.5,1,NA,FALSE,NA,NA,"not provided","Rainbow Trout","silvery parr","UBC",2022-11-04,"308_22","not provided",NA
60,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","LCC",2022-11-19,"323_22","not provided",NA
70,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Unidentified ammocoete","not provided","LCC",2022-11-18,"322_22","not provided",NA
34,FALSE,0,4,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-17,"321_22","Spring",NA
35,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","yolk sac fry","UCC",2022-11-20,"324_22","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
101,FALSE,12,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","smolt","UBC",2022-10-03,"276_22","Late-Fall",NA
119,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-10,"314_22","not provided",NA
81,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","silvery parr","LCC",2022-11-18,"322_22","Winter",NA
87,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-18,"291_22","not provided",NA
170,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-10-15,"288_22","not provided",NA
32,FALSE,0,24,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-18,"322_22","Spring",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-16,"320_22","Spring",NA
120,FALSE,19.6,1,NA,FALSE,NA,NA,"not provided","Rainbow Trout","parr","UBC",2022-10-28,"301_22","not provided",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
29,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-19,"323_22","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-16,"320_22","Spring",NA
40,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-11-11,"315_22","not provided",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-17,"321_22","Spring",NA
49,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-24,"297_22","not provided",NA
34,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-07,"280_22","not provided",NA
163,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-11-11,"315_22","not provided",NA
72,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Pacific Lamprey ammocoete","not provided","UBC",2022-10-09,"282_22","not provided",NA
125,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-26,"299_22","not provided",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
52,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-16,"289_22","not provided",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-16,"320_22","Spring",NA
0,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Unidentified Cyprinid fry","not provided","UBC",2022-10-02,"275_22","not provided",NA
