fork_length,dead,weight,count,fws_run,r_catch,interp,age_class,brood_year,subsample,common_name,life_stage,station_code,sample_date,sample_id,run
128,FALSE,23.4,1,,1,FALSE,NA,2022,not provided,Rainbow Trout,parr,UBC,2023-03-23,082_23,not provided
105,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2023-03-17,076_23,not provided
121,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2023-03-17,076_23,not provided
114,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2023-03-17,076_23,not provided
124,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2023-03-17,076_23,not provided
145,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2023-03-17,076_23,not provided
32,FALSE,0,3,S,3,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,UCC,2022-12-26,360_22,Fall
134,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2023-03-17,076_23,not provided
146,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2023-03-17,076_23,not provided
130,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2023-03-17,076_23,not provided
134,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2023-03-17,076_23,not provided
28,FALSE,0,1,,1,FALSE,NA,2023,not provided,Rainbow Trout,fry,LCC,2023-03-17,076_23,not provided
29,FALSE,0,1,,1,FALSE,NA,2023,not provided,Rainbow Trout,fry,LCC,2023-03-17,076_23,not provided
39,FALSE,0,1,F,1,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,LCC,2023-03-17,076_23,Fall
39,FALSE,0,1,F,1,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,LCC,2023-03-17,076_23,Fall
43,FALSE,0,1,F,1,FALSE,NA,2022,not provided,Chinook Salmon,parr,LCC,2023-03-17,076_23,Fall
51,FALSE,0,1,F,1,FALSE,NA,2022,not provided,Chinook Salmon,parr,LCC,2023-03-17,076_23,Fall
36,FALSE,0,1,F,1,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,LCC,2023-03-17,076_23,Fall
38,FALSE,0,5,F,5,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,LCC,2023-03-17,076_23,Fall
39,FALSE,0,4,F,4,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,LCC,2023-03-17,076_23,Fall
100,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UBC,2023-03-24,083_23,not provided
