fork_length,dead,weight,count,fws_run,r_catch,interp,age_class,brood_year,subsample,common_name,life_stage,station_code,sample_date,sample_id,run
121,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2024-01-15,015_24,not provided
132,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2023-12-21,355_23,not provided
135,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2023-12-30,364_23,not provided
115,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UBC,2023-11-20,324_23,not provided
36,FALSE,0,85,F,85,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-01-07,007_24,Fall
123,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2023-12-23,357_23,not provided
38,FALSE,0,11,F,11,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-02-15,046_24,Fall
125,FALSE,21.799999,1,S,1,FALSE,NA,2022,not provided,Chinook Salmon,smolt,UBC,2023-10-12,285_23,Fall
72,FALSE,3.8,1,,1,FALSE,NA,2023,not provided,Rainbow Trout,parr,LCC,2023-12-22,356_23,not provided
120,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,UBC,2024-01-31,031_24,not provided
115,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UBC,2023-10-19,292_23,not provided
